"filename", "language", "XML", "Python", "HTML", "Markdown", "pip requirements", "comment", "blank", "total"
"/Users/river/Downloads/newauth/imgapi2/inquiry/views.py", "Python", 0, 6, 0, 0, 0, 3, 4, 13
"/Users/river/Downloads/newauth/imgapi2/manage.py", "Python", 0, 15, 0, 0, 0, 3, 5, 23
"/Users/river/Downloads/newauth/imgapi2/permissions.py", "Python", 0, 29, 0, 0, 0, 19, 18, 66
"/Users/river/Downloads/newauth/imgapi2/requirements.txt", "pip requirements", 0, 0, 0, 0, 29, 3, 1, 33
"/Users/river/Downloads/newauth/imgapi2/sharing/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/river/Downloads/newauth/imgapi2/sharing/admin.py", "Python", 0, 3, 0, 0, 0, 1, 2, 6
"/Users/river/Downloads/newauth/imgapi2/sharing/apps.py", "Python", 0, 3, 0, 0, 0, 0, 3, 6
"/Users/river/Downloads/newauth/imgapi2/sharing/migrations/0001_initial.py", "Python", 0, 61, 0, 0, 0, 1, 7, 69
"/Users/river/Downloads/newauth/imgapi2/sharing/migrations/0002_auto_20210908_1220.py", "Python", 0, 12, 0, 0, 0, 1, 6, 19
"/Users/river/Downloads/newauth/imgapi2/sharing/migrations/0003_learnings.py", "Python", 0, 21, 0, 0, 0, 1, 6, 28
"/Users/river/Downloads/newauth/imgapi2/sharing/migrations/0004_learnings_videouploaded.py", "Python", 0, 12, 0, 0, 0, 1, 6, 19
"/Users/river/Downloads/newauth/imgapi2/sharing/migrations/0005_likesforlearning.py", "Python", 0, 19, 0, 0, 0, 1, 6, 26
"/Users/river/Downloads/newauth/imgapi2/sharing/migrations/0006_auto_20211008_0505.py", "Python", 0, 61, 0, 0, 0, 1, 6, 68
"/Users/river/Downloads/newauth/imgapi2/sharing/migrations/0007_auto_20211008_0523.py", "Python", 0, 27, 0, 0, 0, 1, 6, 34
"/Users/river/Downloads/newauth/imgapi2/sharing/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/river/Downloads/newauth/imgapi2/sharing/models.py", "Python", 0, 77, 0, 0, 0, 49, 37, 163
"/Users/river/Downloads/newauth/imgapi2/sharing/serializers.py", "Python", 0, 79, 0, 0, 0, 32, 40, 151
"/Users/river/Downloads/newauth/imgapi2/sharing/tests.py", "Python", 0, 1, 0, 0, 0, 1, 2, 4
"/Users/river/Downloads/newauth/imgapi2/sharing/urls.py", "Python", 0, 25, 0, 0, 0, 1, 5, 31
"/Users/river/Downloads/newauth/imgapi2/sharing/views.py", "Python", 0, 112, 0, 0, 0, 47, 46, 205
"/Users/river/Downloads/newauth/imgapi2/templates/registration/password_reset_email.html", "HTML", 0, 0, 11, 0, 0, 0, 3, 14
"/Users/river/Downloads/newauth/imgapi2/templatetags/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/river/Downloads/newauth/imgapi2/templatetags/password_reset_template_load.py", "Python", 0, 6, 0, 0, 0, 0, 4, 10
"/Users/river/Downloads/newauth/imgapi2/user/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/river/Downloads/newauth/imgapi2/user/admin.py", "Python", 0, 3, 0, 0, 0, 1, 1, 5
"/Users/river/Downloads/newauth/imgapi2/user/apps.py", "Python", 0, 3, 0, 0, 0, 0, 3, 6
"/Users/river/Downloads/newauth/imgapi2/user/migrations/0001_initial.py", "Python", 0, 38, 0, 0, 0, 1, 7, 46
"/Users/river/Downloads/newauth/imgapi2/user/migrations/0002_user_country.py", "Python", 0, 13, 0, 0, 0, 1, 6, 20
"/Users/river/Downloads/newauth/imgapi2/user/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/river/Downloads/newauth/imgapi2/user/models.py", "Python", 0, 38, 0, 0, 0, 8, 22, 68
"/Users/river/Downloads/newauth/imgapi2/user/serializers.py", "Python", 0, 26, 0, 0, 0, 91, 24, 141
"/Users/river/Downloads/newauth/imgapi2/user/tests.py", "Python", 0, 1, 0, 0, 0, 1, 2, 4
"/Users/river/Downloads/newauth/imgapi2/user/urls.py", "Python", 0, 0, 0, 0, 0, 18, 1, 19
"/Users/river/Downloads/newauth/imgapi2/user/views.py", "Python", 0, 31, 0, 0, 0, 59, 10, 100
"Total", "-", 151, 1460, 11, 1, 29, 540, 582, 2774
